,Unnamed: 0,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
241,249,0.19073,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330.0,19.1,393.74,6.56
50,50,0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243.0,16.8,395.56,13.45
405,421,7.02259,0.0,18.1,0,0.718,6.006,95.3,1.8746,24,666.0,20.2,319.98,15.7
412,428,7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666.0,20.2,96.73,21.52
328,339,0.05497,0.0,5.19,0,0.515,5.985,45.4,4.8122,5,224.0,20.2,396.9,9.74
346,357,3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666.0,20.2,391.34,13.27
28,28,0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94,12.8
295,306,0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222.0,18.4,396.9,6.47
140,140,0.2909,0.0,21.89,0,0.624,6.174,93.6,1.6119,4,437.0,21.2,388.08,24.16
43,43,0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233.0,17.9,394.46,7.44
98,98,0.08187,0.0,2.89,0,0.445,7.82,36.9,3.4952,2,276.0,18.0,393.53,3.57
197,203,0.0351,95.0,2.68,0,0.4161,7.853,33.2,5.118,4,224.0,14.7,392.78,3.81
162,165,2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403.0,14.7,240.16,9.81
170,174,0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296.0,16.6,393.23,9.64
116,116,0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432.0,17.8,393.3,12.04
485,501,0.06263,0.0,11.93,0,0.573,6.593,69.1,2.4786,1,273.0,21.0,391.99,9.67
163,167,1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403.0,14.7,227.61,12.14
454,470,4.34879,0.0,18.1,0,0.58,6.167,84.0,3.0334,24,666.0,20.2,396.9,16.29
331,342,0.02498,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422.0,15.9,389.96,8.65
404,420,11.0874,0.0,18.1,0,0.718,6.411,100.0,1.8589,24,666.0,20.2,318.75,15.02
395,411,14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666.0,20.2,35.05,21.22
156,156,2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403.0,14.7,88.63,16.14
470,486,5.69175,0.0,18.1,0,0.583,6.114,79.8,3.5459,24,666.0,20.2,392.68,14.98
312,323,0.28392,0.0,7.38,0,0.493,5.708,74.3,4.7211,5,287.0,19.6,391.13,11.74
322,333,0.05083,0.0,5.19,0,0.515,6.316,38.1,6.4584,5,224.0,20.2,389.71,5.68
90,90,0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270.0,17.8,392.18,8.81
153,153,2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403.0,14.7,261.95,15.79
472,488,0.15086,0.0,27.74,0,0.609,5.454,92.7,1.8209,4,711.0,20.1,395.09,18.06
319,330,0.04544,0.0,3.24,0,0.46,6.144,32.2,5.8736,4,430.0,16.9,368.57,9.09
66,66,0.04379,80.0,3.37,0,0.398,5.787,31.1,6.6115,4,337.0,16.1,396.9,10.24
302,313,0.26938,0.0,9.9,0,0.544,6.266,82.8,3.2628,4,304.0,18.4,393.39,7.9
343,354,0.04301,80.0,1.91,0,0.413,5.663,21.9,10.5857,4,334.0,22.0,382.8,8.05
151,151,1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403.0,14.7,341.6,13.28
21,21,0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307.0,21.0,392.53,13.83
464,480,5.82401,0.0,18.1,0,0.532,6.242,64.7,3.4242,24,666.0,20.2,396.9,10.74
398,414,45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666.0,20.2,88.27,36.98
236,244,0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330.0,19.1,372.49,12.5
52,52,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9,5.28
157,157,1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403.0,14.7,363.43,4.59
340,351,0.0795,60.0,1.69,0,0.411,6.579,35.9,10.7103,4,411.0,18.3,370.78,5.49
198,205,0.13642,0.0,10.59,0,0.489,5.891,22.3,3.9454,4,277.0,18.6,396.9,10.87
329,340,0.06151,0.0,5.19,0,0.515,5.968,58.5,4.8122,5,224.0,20.2,396.9,9.29
318,329,0.06724,0.0,3.24,0,0.46,6.333,17.2,5.2146,4,430.0,16.9,375.21,7.34
33,33,1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307.0,21.0,358.77,18.35
234,242,0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300.0,16.6,372.75,11.22
436,452,5.09017,0.0,18.1,0,0.713,6.297,91.8,2.3682,24,666.0,20.2,385.09,17.27
176,180,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.741,3,193.0,17.8,395.56,7.56
466,482,5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666.0,20.2,395.28,7.01
122,122,0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188.0,19.1,378.09,17.93
401,417,25.9406,0.0,18.1,0,0.679,5.304,89.1,1.6475,24,666.0,20.2,127.36,26.64
107,107,0.13117,0.0,8.56,0,0.52,6.127,85.2,2.1224,5,384.0,20.9,387.69,14.09
